frame_number,landmark,x,y,z
3,LEFT_FOOT_INDEX,0.3911,0.9547,0.0954
3,RIGHT_FOOT_INDEX,0.313,0.9546,0.1139
4,NOSE,0.3581,0.245,-0.3957
4,LEFT_EYE_INNER,0.3687,0.2347,-0.3798
4,LEFT_EYE,0.3735,0.236,-0.3798
4,LEFT_EYE_OUTER,0.3782,0.2371,-0.3798
4,RIGHT_EYE_INNER,0.3572,0.2326,-0.3758
4,RIGHT_EYE,0.3544,0.2326,-0.3758
4,RIGHT_EYE_OUTER,0.3517,0.2326,-0.3758
4,LEFT_EAR,0.3866,0.2466,-0.2585
4,RIGHT_EAR,0.3551,0.241,-0.2392
4,MOUTH_LEFT,0.3663,0.264,-0.348
4,MOUTH_RIGHT,0.3519,0.2607,-0.3429
4,LEFT_SHOULDER,0.4275,0.3482,-0.1714
4,RIGHT_SHOULDER,0.3159,0.3413,-0.1262
4,LEFT_ELBOW,0.4475,0.473,-0.1048
4,RIGHT_ELBOW,0.2945,0.4603,-0.0537
4,LEFT_WRIST,0.4529,0.583,-0.1999
4,RIGHT_WRIST,0.2781,0.5601,-0.1586
4,LEFT_PINKY,0.4541,0.6117,-0.2296
4,RIGHT_PINKY,0.2725,0.5919,-0.1892
4,LEFT_INDEX,0.4453,0.6103,-0.2697
4,RIGHT_INDEX,0.278,0.5907,-0.233
4,LEFT_THUMB,0.442,0.6,-0.2164
4,RIGHT_THUMB,0.2827,0.5794,-0.1786
4,LEFT_HIP,0.4015,0.5762,-0.0118
4,RIGHT_HIP,0.3328,0.5726,0.0116
4,LEFT_KNEE,0.3955,0.7458,0.0118
4,RIGHT_KNEE,0.3325,0.7436,0.0279
4,LEFT_ANKLE,0.3915,0.8922,0.2357
4,RIGHT_ANKLE,0.3312,0.8914,0.2443
4,LEFT_HEEL,0.3851,0.9077,0.2504
4,RIGHT_HEEL,0.3392,0.9097,0.2553
4,LEFT_FOOT_INDEX,0.3912,0.9548,0.094
4,RIGHT_FOOT_INDEX,0.313,0.955,0.1025
5,NOSE,0.3588,0.2467,-0.3955
5,LEFT_EYE_INNER,0.3691,0.2361,-0.3797
5,LEFT_EYE,0.374,0.2372,-0.3797
